cellI,x,y,z,V,Ux,Uy,Uz
29024,9.50715,0.59375,0.005,1.78258e-06,3.72512,-0.00248655,0
29025,9.5214,0.59375,0.005,1.78055e-06,3.72527,-0.00250154,0
29026,9.53564,0.59375,0.005,1.77851e-06,3.72541,-0.00251734,0
29027,9.54986,0.59375,0.005,1.77648e-06,3.72555,-0.002534,0
29028,9.56406,0.59375,0.005,1.77445e-06,3.72569,-0.00255154,0
29029,9.57825,0.59375,0.005,1.77242e-06,3.72583,-0.00257003,0
29030,9.59242,0.59375,0.005,1.77039e-06,3.72597,-0.00258951,0
29031,9.60658,0.59375,0.005,1.76837e-06,3.72611,-0.00261002,0
29032,9.62072,0.59375,0.005,1.76635e-06,3.72625,-0.00263162,0
29033,9.63484,0.59375,0.005,1.76433e-06,3.72638,-0.00265435,0
29034,9.64894,0.59375,0.005,1.76231e-06,3.72651,-0.00267829,0
29035,9.66303,0.59375,0.005,1.7603e-06,3.72665,-0.00270345,0
29036,9.67711,0.59375,0.005,1.75828e-06,3.72678,-0.00272989,0
29037,9.69117,0.59375,0.005,1.75627e-06,3.72691,-0.00275772,0
29038,9.70521,0.59375,0.005,1.75427e-06,3.72703,-0.00278701,0
29039,9.71924,0.59375,0.005,1.75226e-06,3.72716,-0.00281782,0
29040,9.73325,0.59375,0.005,1.75026e-06,3.72728,-0.00285022,0
29041,9.74724,0.59375,0.005,1.74826e-06,3.72741,-0.00288435,0
29042,9.76122,0.59375,0.005,1.74626e-06,3.72753,-0.00292027,0
29043,9.77518,0.59375,0.005,1.74426e-06,3.72765,-0.00295802,0
29044,9.78913,0.59375,0.005,1.74227e-06,3.72777,-0.00299769,0
29045,9.80306,0.59375,0.005,1.74028e-06,3.72788,-0.00303937,0
29046,9.81697,0.59375,0.005,1.73829e-06,3.72799,-0.00308316,0
29047,9.83087,0.59375,0.005,1.7363e-06,3.7281,-0.00312917,0
29048,9.84475,0.59375,0.005,1.73432e-06,3.72821,-0.00317751,0
29049,9.85862,0.59375,0.005,1.73233e-06,3.72832,-0.00322828,0
29050,9.87247,0.59375,0.005,1.73035e-06,3.72842,-0.0032816,0
29051,9.8863,0.59375,0.005,1.72837e-06,3.72852,-0.0033376,0
29052,9.90012,0.59375,0.005,1.7264e-06,3.72862,-0.00339639,0
29053,9.91393,0.59375,0.005,1.72443e-06,3.72872,-0.00345812,0
29054,9.92771,0.59375,0.005,1.72245e-06,3.72881,-0.00352292,0
29055,9.94149,0.59375,0.005,1.72049e-06,3.7289,-0.00359093,0
29056,9.95524,0.59375,0.005,1.71852e-06,3.72898,-0.00366231,0
29057,9.96898,0.59375,0.005,1.71655e-06,3.72907,-0.0037372,0
29058,9.98271,0.59375,0.005,1.71459e-06,3.72915,-0.00381575,0
29059,9.99642,0.59375,0.005,1.71263e-06,3.72922,-0.00389816,0
29060,10.0101,0.59375,0.005,1.71067e-06,3.72929,-0.0039846,0
29061,10.0238,0.59375,0.005,1.70872e-06,3.72936,-0.00407528,0
29062,10.0374,0.59375,0.005,1.70677e-06,3.72942,-0.00417035,0
29063,10.0511,0.59375,0.005,1.70481e-06,3.72948,-0.00427002,0
29064,10.0647,0.59375,0.005,1.70286e-06,3.72953,-0.0043745,0
29065,10.0783,0.59375,0.005,1.70092e-06,3.72958,-0.00448402,0
29066,10.0919,0.59375,0.005,1.69897e-06,3.72963,-0.00459879,0
29067,10.1055,0.59375,0.005,1.69703e-06,3.72967,-0.00471906,0
29068,10.1191,0.59375,0.005,1.69509e-06,3.7297,-0.00484506,0
29069,10.1326,0.59375,0.005,1.69315e-06,3.72973,-0.00497705,0
29070,10.1462,0.59375,0.005,1.69122e-06,3.72975,-0.00511528,0
29071,10.1597,0.59375,0.005,1.68928e-06,3.72976,-0.00526003,0
29072,10.1732,0.59375,0.005,1.68735e-06,3.72977,-0.00541157,0
29073,10.1867,0.59375,0.005,1.68543e-06,3.72977,-0.00557021,0
29074,10.2002,0.59375,0.005,1.6835e-06,3.72976,-0.00573623,0
29075,10.2136,0.59375,0.005,1.68157e-06,3.72975,-0.00590996,0
29076,10.2271,0.59375,0.005,1.67965e-06,3.72973,-0.00609171,0
29077,10.2405,0.59375,0.005,1.67773e-06,3.7297,-0.00628181,0
29078,10.2539,0.59375,0.005,1.67581e-06,3.72966,-0.00648061,0
29079,10.2673,0.59375,0.005,1.6739e-06,3.72961,-0.00668846,0
29080,10.2807,0.59375,0.005,1.67199e-06,3.72955,-0.00690573,0
29081,10.2941,0.59375,0.005,1.67007e-06,3.72949,-0.00713279,0
29082,10.3074,0.59375,0.005,1.66816e-06,3.72941,-0.00737003,0
29083,10.3208,0.59375,0.005,1.66626e-06,3.72932,-0.00761784,0
29084,10.3341,0.59375,0.005,1.66435e-06,3.72922,-0.00787663,0
29085,10.3474,0.59375,0.005,1.66245e-06,3.72911,-0.00814681,0
29086,10.3607,0.59375,0.005,1.66055e-06,3.72898,-0.0084288,0
29087,10.374,0.59375,0.005,1.65865e-06,3.72884,-0.00872306,0
29088,10.3872,0.59375,0.005,1.65675e-06,3.72869,-0.00903,0
29089,10.4005,0.59375,0.005,1.65486e-06,3.72853,-0.00935009,0
29090,10.4137,0.59375,0.005,1.65297e-06,3.72835,-0.00968379,0
